X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
41783.7190975259,39142.6304999444,78071,B02,BLK 446,41784,39143
21544.3542012918,38650.4520980223,44369,NIL,AFT DAIRY FARM RD,21544,38650
19293.4859971593,32698.7180022779,20281,B23,OPP THE JAPANESE SEC SCH,19293,32699
39255.6573999129,37269.370900894,75169,B04,OPP BLK 853,39256,37269
25969.7557026965,30144.4745007284,10421,B06,BLK 63B,25970,30144
32623.6071994211,34273.5204029965,70349,B01,BEF LOR BAKAR BATU,32624,34274
27362.2980967271,40115.0081989373,56041,B25,OPP GREEN MEADOWS CONDO,27362,40115
32262.4114023281,36558.3425022935,62121,B11,AFT WOLSKEL RD,32262,36558
27306.9464025004,35939.2407976098,40261,B03,LP 52,27307,35939
35030.237001391,31256.6943031288,91121,NIL,HSE 189,35030,31257
18063.9535029782,39826.1514002281,44091,B06,OPP FORMER KEAT HONG CAMP,18064,39826
39588.5222288788,32974.1246532677,94029,B10,EAST COAST VILLE,39589,32974
42584.7358471669,40140.7480431399,78279,NIL,OPP LOYANG TOWNHOUSE,42585,40141
35981.6057184273,31675.4161140928,92041,B01,OPP PARKWAY PARADE,35982,31675
30732.2839979236,30625.3887975053,02151,B04,SUNTEC CONVENTION CTR,30732,30625
16864.1896992124,36072.1590984148,28349,B16,OPP CHINESE GDN STN,16864,36072
20057.6140993317,37860.5874982269,43309,B01,HILLBROOKS,20058,37861
31627.6168993297,32954.9471018597,60059,B01,BEF KALLANG PL,31628,32955
7778.87819890066,35205.2587968644,25221,B41,RAFFLES COUNTRY CLUB,7779,35205
5584.70160138809,34349.4137989739,26201,B13,ISK S'PORE,5585,34349
35524.5968979713,38301.8617970354,64221,B09,AFT FISH FARM RD 1,35525,38302
22129.3094999735,46827.9953021173,46191,B02,BLK 7,22129,46828
20831.6077003982,37520.0005985069,43049,B08,OPP HUME PK CONDO,20832,37520
35478.5528007531,34326.9760981503,71111,B03,BLK 343,35479,34327
35094.4244975082,34564.8399014623,71149,B05,BLK 3024,35094,34565
43678.5689998752,39756.5000023126,98149,B06,WACKER CHEMICALS,43679,39757
33575.8779021743,31947.9584031634,80279,B05,BLK 2,33576,31948
13634.6352492762,39378.3689809702,31171,B30,,13635,39378
28300.1143016324,36045.9012010467,51071,B21,MACRITCHIE RESERVOIR,28300,36046
42217.1469014662,37133.3139968611,76449,B03,BLK 343,42217,37133
20513.7443007214,40634.8548010054,44671,B03,BET BLKS 502/503,20514,40635
44180.0707019872,40055.8093969133,98079,B14,BEF SIA ENGINE TEST CTR,44180,40056
43030.5495006976,38809.6510027711,98039,B06,BEF NEW LOYANG LINK,43031,38810
32167.7122289148,37029.8938085783,66389,B02,OPP BLK 334,32168,37030
38754.5967004261,34171.6943021393,84009,NIL,BEDOK BUS INT,38755,34172
28395.736701972,37451.6790006374,53189,B04,BLK 25,28396,37452
12864.9441020591,36835.7716029003,27431,B08,BLK 762,12865,36836
18459.1737968445,40134.5032001553,44441,B04,BLK 239,18459,40135
31925.3103976311,40077.361402668,66451,B06,AFT ANG MO KIO IND PK 2,31925,40077
35187.9780647694,35389.9330142087,71071,B06,OPP COMFORT DRIVING CENTRE,35188,35390
32354.8461030706,42405.6888984054,68059,B12,AFT TPE,32355,42406
26291.6672029701,27430.3619996178,14461,B99,KEPPEL BAY TWR,26292,27430
14550.0802030957,36631.8745992167,21431,B01,BLK 210,14550,36632
30834.2105027702,36188.8561977657,52061,B08,BCA ACADEMY,30834,36189
12370.398797047,36429.2948013505,27419,B04,BLK 828A,12370,36429
30501.3144984679,31035.3330977912,01631,B01,AFT BEACH RD,30501,31035
15695.8188981161,34580.2688018417,21561,B01,BLK 158,15696,34580
18527.8308975718,34702.2258002499,28041,0,The Synergy,18528,34702
34632.1086024434,39600.7220016145,64371,B01,OPP PUNGGOL CC,34632,39601
19037.3408987062,31534.7014973116,29089,B07,SWANSON PLASTICS,19037,31535
24887.9358005128,32483.870402612,11221,B07,LIEN TWRS,24888,32484
28675.6053997148,30926.4778001761,13091,B08,AFT AA CTR,28676,30926
38846.0067009316,38164.4763008934,75291,B05,AFT TAMPINES AVE 9,38846,38164
13291.1102968778,36961.7814016385,27449,B09,AFT WESTWOOD AVE,13291,36962
8832.86779975045,32445.9483023135,24671,B19,JSW PLASTIC MACHINERY,8833,32446
19153.3150972548,41752.5203993503,45021,B09,HEAVY VEH PK,19153,41753
31085.8991981106,38467.4729001527,66211,B03,OPP BLOXHOME DR,31086,38467
14979.963602976,34900.4544967483,21531,B02,CLARIANT S'PORE,14980,34900
5500.35590042235,33625.5437030738,26249,NIL,BEF TUAS STH AVE 2,5500,33626
39673.3494544663,40159.9716413713,77221,B01,BLK 651,39673,40160
34157.8125002024,40188.6664031654,64449,B03,OPP HOUGANG G. SHOP MALL,34158,40189
30124.6004466596,38439.291227761,54321,B03,BLK 354,30125,38439
32265.9993053224,39747.9230025795,66511,B02,,32266,39748
26168.1665996628,42696.1613029811,57149,B01,AFT UPP THOMSON RD,26168,42696
4473.29219931556,30681.5652024832,26379,NIL,YONG NAM,4473,30682
26457.4678003828,35537.1139026923,41159,B08,AFT LORNIE WALK,26457,35537
20611.4357981693,36505.7809973723,42191,B09,BEF BT BATOK EAST AVE 6,20611,36506
33942.9073024028,33481.5297020266,81211,B03,GEYLANG POLYCLINIC,33943,33482
23847.3888027264,46401.698498283,46689,B06,OPP BLK 899A,23847,46402
33553.5659984205,40121.2744019449,66499,B04,BLK 911,33554,40121
38220.3377000858,33958.9156015592,84021,B03,BLK 32,38220,33959
37070.6093012928,32132.4339973769,92071,B07,OPP BLK 57,37071,32132
41277.2327013746,33338.114402093,94009,NIL,UPP EAST COAST TER,41277,33338
30749.0316024903,35766.3652008436,52389,B06,BLK 227,30749,35766
20589.0419989258,39246.8178008446,43121,B04,AFT CASHEW TERR,20589,39247
14059.3440977806,36134.7465994363,21369,B03,OPP BLK 695,14059,36135
32935.1132991568,37094.9216988257,62051,B15,PAYA LEBAR CAMP,32935,37095
