X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC
14787.6649,35144.0888,21521,B01,PB PACKAGING SYSTEMS
13915.0293,35036.457,22439,B01,AFT PAR INVESTMENT
23248.6024,45891.8439,46979,B12,OPP BLK 507
9240.009198,34049.6529,24501,B61,BEF TUAS FLYOVER
13396.0353,32905.3624,22041,B03,AFT TG KLING RD
35226.24238,35946.63076,71191,B07A,AFTER DEFU LANE 12
39104.0179,35430.8316,84201,B05,OPP BLK 761
23165.79648,46308.75665,46649,B03,BLK 515
32716.8539,36256.637,62099,B07,CLASSICAL TERR
15178.38,35444.6495,21209,B08,OPP SIME RENGO PACKAGING LTD
21565.1746,47016.1167,46709,B03,AFT BLK 1
23807.523,47254.2775,46831,B03,BLK 747A CP
38386.8691,35012.3335,84409,B05,BLK 550
38213.9296,33910.1631,84029,B04,OPP BLK 32
21911.8242,35354.9363,42149,B02,AFT KING ALBERT PK
18272.177,36549.5813,43371,B03,BLK 109
29837.8047,30566.3225,4149,B01,GRAND PLAZA PARKROYAL
30646.1142,35394.1568,52429,B01,BLK 17A
20355.0461,31889.9557,17049,B08,BLK 601
24540.8426,49799.2436,47131,B05,OPP WAN TAI CO
17719.3091,40582.6234,44499,B04,BLK 429A CP
21460.5809,43598.7813,48011,B22,OPP MANDAI CAMP 2
18153.14918,34435.99751,28221,B07,OPP INTL BUSINESS PK
19543.78601,34870.90085,28709,B02,BEF OLD TOH TUCK RD
25077.41764,30592.44636,11131,B11,QUEENS CONDO
33677.2711,41382.6554,67321,B01A,BLK 311A
24647.7964,31325.2568,11471,B12,OPP THE FISHERMAN CH
26486.6277,31649.9569,13041,B04,AFT ROCHALIE DR
34521.71371,35874.17131,71059,B03,BEF KIM CHUAN RD
11663.5176,33921.2289,23029,B21,STAMFORD TYRE
16339.5635,37346.881,28141,B07,AFT TRACK 22
21724.8,36155.992,42109,B06,OPP BT TIMAH SHOP CTR
27934.5834,31884.2166,9047,B16,TANG PLAZA
28768.0088,32709.2622,40031,B07,NEWTON FC
24248.6947,47483.8545,46791,B03,BLK 722
29534.2721,36566.9089,53211,B02,OPP RAFFLES INST
28733.9225,45996.1004,59179,B01,BLK 241
28810.0739,40588.3771,55159,B06,OPP ANG MO KIO COMM HOSP
31523.3915,31721.8669,1429,B12,GOLDEN MILE CPLX
29424.4349,32452.7446,40279,B04,KK WOMEN \& CHILD HOSP
22371.8444,46510.8491,46299,B08,OPP BLK 106
18956.4148,36326.4789,43591,B05,OPP BT VIEW SEC SCH
27465.466,39859.6267,56039,B24,AFT YIO CHU KANG RD
28499.0294,45765.7949,59161,B06,OPP BLK 201
36127.6401,33338.0691,83029,B06,BEF JAMIYAH HOME
20758.4377,35733.8209,42229,B05,AFT TOH TUCK TERR
28127.3331,34233.2467,51099,B03,CATHOLIC JC
32252.0774,32763.81869,80101,B01,OPP BLK 2C
33165.7632,32206.8939,80149,B05,MOUNTBATTEN VOC SCH
36112.57213,34793.16666,72021,B01,BLK 646
19842.6315,32442.3009,17079,B12,BLK 512
30020.7797,35127.0015,52269,B04,BLK 73
34521.94117,35952.42886,71051,B04,AFT KIM CHUAN RD
15303.7935,35610.9785,21611,B11,BLK 367
42034.69241,35811.2813,96209,B02,
32438.01511,32754.83979,80051,B03,AFT LOR 1 GEYLANG
39711.9276,40472.9745,77251,B19,BLK 713
23518.7059,34206.9982,11349,B05,OPP GARLICK VILLE
14946.0913,35812.5805,21211,B09,OPP LAKEPOINT CONDO
16004.1334,37162.656,28571,B02,BET BLK 415
22299.8665,32423.4722,19029,B06,OPP SP SMA
28614.4238,32925.3003,40049,B02,BEF NEWTON CIRCUS
17454.53199,35192.159,28439,B124,BLK 124
25408.1915,49346.5487,47819,B11,OPP WOODLANDS SUNNY FOOD
19993.0885,43713.1744,45181,B30,OPP MANDAI CD TRG VILLAGE
25461.1006,33515.9187,41109,B04,OPP ST. MARGARET'S SEC SCH
34836.3153,35418.5541,71021,B05,OPP COMFORT TEST CTR
12847.0021,36075.0519,22359,B05,BEF BLK 717
43256.3261,38062.1238,97051,B07,OPP CHANGI WOMEN'S PRISON
34594.9832,37651.984,63081,B14,OPP BLK 241
33691.5837,40047.4707,64611,B08,BLK 913
12745.3517,36730.3952,27391,B06,BLK 857
27924.9363,45785.4909,59141,B02,BLK 741
32231.99074,32602.57328,80031,B01,KALLANG STN
27954.36999,44479.426,59569,B29,Opp Blk 798
33467.8655,39216.3483,63381,B13,XINMIN PR SCH
5233.488598,31320.2312,26461,NIL,HENG HUAT SHIP BLDG \& CONSTRUCTION
26477.1728,47507.1318,58299,B03,BLK 328
12318.2472,33851.2133,23011,B20,CARRIER TRANSICOLD PTE LTD
32332.8889,38334.2457,66149,B01,AFT YIO CHU KANG RD
13487.848,44727.9883,33029,B18,AFT NEO TIEW RD
34253.0751,31424.2614,91051,B13,OPP SANTA FE MANS
30560.7802,33968.918,50991,B01,BLK 82
19905.0733,31929.7113,17329,B20,BLK 705
34660.2492,34292.5932,71221,NIL,MEIBAN IND BLDG
27126.0891,31920.7952,9191,B01,THE REGENT S'PORE
20144.742,40279.54699,44401,NIL,OPP BLK 183
24366.4946,28421.371,15149,B02,PSA BLDG
35317.3094,38813.0874,64301,B04,BLK 325
